"","mgi_symbol","ensembl_gene_id"
"402","Spta1","ENSMUSG00000026532"
"403","Ifi202b","ENSMUSG00000026535"
"404","Selp","ENSMUSG00000026580"
"405","Sele","ENSMUSG00000026582"
"406","Abl2","ENSMUSG00000026596"
"407","Eprs","ENSMUSG00000026615"
"408","Batf3","ENSMUSG00000026630"
"409","Dclre1c","ENSMUSG00000026648"
"410","Fcgr2b","ENSMUSG00000026656"
"411","Tnfsf4","ENSMUSG00000026700"
"412","Mrc1","ENSMUSG00000026712"
"413","Rabgap1l","ENSMUSG00000026721"
"414","Pip4k2a","ENSMUSG00000026737"
"415","Bmi1","ENSMUSG00000026739"
"416","Prkcq","ENSMUSG00000026778"
"417","Apbb1ip","ENSMUSG00000026786"
"418","Lcn2","ENSMUSG00000026822"
"419","Abl1","ENSMUSG00000026842"
"420","Kynu","ENSMUSG00000026866"
"421","Dab2ip","ENSMUSG00000026883"
"422","Ifih1","ENSMUSG00000026896"
"423","Notch1","ENSMUSG00000026923"
"424","Card9","ENSMUSG00000026928"
"425","Fcna","ENSMUSG00000026938"
"426","Itga4","ENSMUSG00000027009"
"427","Itgav","ENSMUSG00000027087"
"428","Sp3","ENSMUSG00000027109"
"429","Itga6","ENSMUSG00000027111"
"430","Traf6","ENSMUSG00000027164"
"431","Jag1","ENSMUSG00000027276"
"432","Snap23","ENSMUSG00000027287"
"433","Tyro3","ENSMUSG00000027298"
"434","Rasgrp1","ENSMUSG00000027347"
"435","Bcl2l11","ENSMUSG00000027381"
"436","Zc3h8","ENSMUSG00000027387"
"437","Il1b","ENSMUSG00000027398"
"438","Il1a","ENSMUSG00000027399"
"439","Polr3f","ENSMUSG00000027427"
"440","Rbck1","ENSMUSG00000027466"
"441","Tpd52","ENSMUSG00000027506"
"442","Pag1","ENSMUSG00000027508"
"443","Zbp1","ENSMUSG00000027514"
"444","Nfatc2","ENSMUSG00000027544"
"445","Itch","ENSMUSG00000027598"
"446","Procr","ENSMUSG00000027611"
"447","Sla2","ENSMUSG00000027636"
"448","Samhd1","ENSMUSG00000027639"
"449","Src","ENSMUSG00000027646"
"450","Ctnnbl1","ENSMUSG00000027649"
"451","Skil","ENSMUSG00000027660"
"452","Mecom","ENSMUSG00000027684"
"453","Ptx3","ENSMUSG00000027832"
"454","Wnt2b","ENSMUSG00000027840"
"455","Ptpn22","ENSMUSG00000027843"
"456","Tspan2","ENSMUSG00000027858"
"457","Chrnb2","ENSMUSG00000027950"
"458","Adar","ENSMUSG00000027951"
"459","Lef1","ENSMUSG00000027985"
"460","Tlr2","ENSMUSG00000027995"
"461","Sfrp2","ENSMUSG00000027996"
"462","Pitx2","ENSMUSG00000028023"
"463","Efna4","ENSMUSG00000028040"
"464","Adam15","ENSMUSG00000028041"
"465","Arhgef2","ENSMUSG00000028059"
